	12A01	12A06	12A08	12A09	12A10	12A11	12B02	12B04	12B05	12B08	12B09	12B10	12B11	12C02	12C05	12C09	12C11	12D05	12D07	12D08	12D09	12D11	12D12	12E02	12E04	12E05	12E06	12E10	12E11	12E12	12F02	12F03	12F04	12F05	12F06	12F08	12F10	12F11	12F12	12G01	12G02	12G03	12G04	12G05	12G06	12G07	12G08	12G09	12G10	12G11	12G12	12H01	12H02	12H04	12H05	12H08	12H09	12H10	12H11	13A01	13A02	13A03	13A04	13A08	13A10	13A11	13B01	13B03	13B07	13B10	13B11	13B12	13C01	13C04	13C05	13C10	13C12	13D01	13D03	13D07	13D09	13D11	13D12	13E02	13E04	13E05	13E06	13E07	13E09	13E10	13F02	13F04	13F08	13F11	13G02	13G04	13G07	13G08	13G10	13G12	13H02	13H04	13H05	13H06	13H11	13H12	14A03	14A04	14A06	14A07	14A10	14A11	14A12	14B06	14B08	14B10	14B11	14B12	14C01	14C02	14C03	14C04	14C05	14C06	14C07	14C08	14C09	14C10	14C11	14D03	14D07	14D09	14D12	14E01	14E02	14E03	14E04	14E05	14E06	14E07	14F04	14F05	14F06	14F08	14F09	14F10	14F11	14G02	14G03	14G04	14G06	14G09	14G10	14G12	14H02	14H05	14H06	14H08	14H09	14H11	1A03	1A05	1A09	1A11	1A12	1B01	1B02	1B03	1B07	1B09	1B10	1B11	1C01	1C02	1C03	1C04	1C05	1C07	1C09	1D01	1D02	1D07	1D08	1D09	1D10	1D12	1E01	1E07	7G11
14G12	23	17	10	8	13	7	16	12	13	19	111	22	9	7	9	6	8	6	12	5	8	7	7	11	7	15	16	8	11	7	9	18	37	12	12	24	16	21	14	73	47	9	14	14	11	10	12	11	10	10	109	9	9	8	12	42	10	7	7	13	8	14	7	14	19	9	11	6	15	13	78	17	8	9	8	8	7	5	6	9	14	7	12	11	13	11	24	5	5	10	11	7	7	6	12	14	12	8	7	7	6	9	9	9	9	7	10	10	7	11	8	21	7	9	10	8	7	13	7	7	9	55	8	8	44	7	61	7	20	11	47	10	15	9	8	9	10	8	10	7	13	8	7	9	7	8	7	6	9	10	15	7	10	0	9	8	13	8	9	9	10	5	7	9	10	10	9	9	13	11	13	12	9	9	14	5	7	17	11	9	9	13	10	13	10	9	11	9	10
14H02	22	24	9	9	12	4	13	13	16	22	120	25	8	4	6	7	7	7	7	8	5	8	4	6	6	10	15	5	6	6	6	11	38	11	9	21	9	12	11	72	46	6	11	11	8	11	9	8	7	11	114	6	8	7	7	45	7	6	8	8	7	9	4	9	12	8	8	5	8	8	85	14	5	6	5	5	2	4	7	6	11	6	9	8	10	10	15	6	6	9	6	6	4	5	7	9	7	3	4	2	3	6	6	6	6	6	5	7	6	6	7	18	6	4	3	3	2	6	4	4	8	60	3	5	43	6	66	8	11	4	52	5	8	4	9	4	5	5	5	6	12	3	4	6	2	5	4	5	4	7	8	2	5	9	0	1	6	5	2	2	3	4	4	2	3	5	4	2	6	6	6	7	6	8	11	8	6	12	6	8	6	6	5	8	5	4	8	6	9
14H05	23	23	8	8	13	5	14	12	15	21	119	24	7	5	5	6	6	6	8	7	4	7	3	7	5	11	16	4	7	7	7	12	37	10	10	22	10	13	10	73	47	7	12	12	9	10	10	9	8	10	115	7	7	8	8	44	6	5	7	9	6	10	5	10	13	9	9	4	9	9	86	15	4	7	4	4	3	3	6	5	12	5	10	9	11	9	16	5	5	8	7	5	5	4	8	10	8	4	5	1	4	7	7	7	7	5	6	8	7	5	6	17	5	5	4	4	3	7	5	5	7	59	4	6	42	5	65	7	12	5	51	6	9	5	8	3	6	6	6	5	11	4	5	7	1	6	5	6	5	6	9	3	6	8	1	0	7	4	3	3	4	3	5	3	4	4	5	3	7	5	7	8	5	7	12	7	5	13	7	9	7	7	4	9	4	5	9	7	8
14H06	24	28	11	13	16	8	17	15	20	26	124	29	12	8	10	11	11	11	11	12	9	12	8	8	10	14	19	9	10	10	10	15	42	15	13	25	13	16	15	74	48	10	15	13	12	15	13	12	11	15	118	10	12	11	13	49	13	10	12	10	11	11	8	13	14	12	12	9	14	12	87	18	11	10	11	11	6	8	11	10	15	10	11	10	14	12	19	10	10	13	10	10	8	9	13	13	13	7	8	6	7	10	10	10	10	10	9	11	10	12	11	24	10	10	9	9	8	6	8	8	12	64	7	9	47	10	70	12	15	10	58	9	12	8	13	10	11	9	9	12	16	7	8	10	8	9	8	9	8	11	12	6	9	13	6	7	0	9	6	6	7	8	8	6	7	9	8	6	6	10	6	7	12	12	15	12	10	16	12	12	10	10	9	12	9	8	12	10	13
14H08	21	21	6	6	11	3	14	10	13	19	119	24	5	5	3	4	4	4	6	7	4	7	5	7	3	7	12	4	5	7	7	12	37	8	8	20	10	15	10	71	45	3	10	10	7	8	8	7	8	10	113	7	5	8	10	42	6	3	5	9	2	8	5	8	13	9	11	4	9	9	86	17	4	5	6	6	5	3	4	5	10	5	10	7	7	7	18	3	3	6	5	3	3	2	10	12	6	4	3	3	4	5	5	3	7	5	8	6	5	9	2	21	3	5	6	4	5	7	3	3	3	57	2	4	40	3	63	5	14	3	51	2	11	1	6	3	6	2	8	5	9	4	3	3	5	4	5	8	5	8	11	5	6	8	5	4	9	0	3	5	6	3	3	5	4	2	3	5	9	3	7	4	5	5	10	5	3	11	7	7	5	5	2	5	2	5	5	3	6
14H09	20	22	7	7	10	2	13	11	14	20	120	25	6	4	4	5	7	5	5	8	5	8	4	6	4	8	13	5	6	6	6	11	38	9	9	21	9	14	11	72	46	4	11	11	8	11	9	8	7	11	112	6	8	7	9	43	9	4	6	8	5	9	4	9	12	8	8	5	10	8	85	16	7	6	7	7	2	4	5	6	11	6	9	8	8	10	17	4	4	7	6	4	4	5	9	9	7	3	2	2	3	6	4	4	6	6	5	7	6	8	5	20	4	6	5	5	4	6	2	2	6	58	1	3	41	4	64	6	13	4	52	3	10	2	7	4	7	3	5	8	10	3	4	4	4	5	4	5	4	7	10	2	5	9	2	3	6	3	0	2	5	4	2	2	1	3	4	2	6	4	6	5	6	6	9	6	4	10	6	6	4	4	3	6	3	2	6	4	7
14H11	22	24	9	9	12	4	13	13	16	22	120	25	8	4	6	7	7	7	7	8	5	8	4	6	6	10	15	5	6	4	6	11	38	11	9	21	9	14	11	70	46	6	11	9	8	11	9	8	7	11	114	6	8	7	9	45	9	6	8	8	7	9	4	9	10	8	8	5	10	8	85	14	7	6	7	7	2	4	7	6	9	6	7	8	10	10	15	6	6	9	6	6	4	5	7	7	9	3	4	2	3	6	6	6	6	6	5	7	6	8	7	20	6	6	5	5	4	6	4	4	8	60	3	5	43	6	66	8	11	6	54	5	10	4	9	6	7	5	5	8	12	3	4	4	4	5	2	5	4	7	8	2	5	9	2	3	6	5	2	0	5	4	4	2	3	5	4	2	6	6	6	7	8	8	9	8	6	10	8	8	4	6	5	6	5	4	8	6	9
1A03	23	25	10	10	13	5	14	14	17	23	121	26	9	5	9	8	8	8	10	9	8	9	5	9	7	11	16	8	7	7	7	12	41	12	10	22	10	13	14	71	45	5	10	10	7	10	8	7	8	12	115	7	7	8	8	46	6	7	9	11	6	10	5	10	13	9	9	6	9	11	84	15	4	5	6	6	3	5	8	5	10	7	10	7	9	9	16	7	7	10	7	7	3	4	6	10	6	2	5	5	4	5	7	5	7	7	6	6	5	7	6	19	7	3	2	2	3	7	5	5	9	61	6	6	44	9	67	9	12	5	53	6	7	5	10	7	6	6	6	5	13	2	3	5	3	4	5	6	3	8	7	3	4	10	3	4	7	6	5	5	0	5	5	5	6	6	5	5	9	7	5	8	7	9	12	9	7	11	7	9	7	7	6	9	6	5	7	5	10
1A05	20	20	5	5	10	2	11	9	12	18	116	21	4	2	4	3	5	3	7	4	3	4	2	6	2	10	15	3	6	4	4	13	36	7	9	21	11	16	9	70	44	4	9	9	6	7	7	6	5	7	112	4	4	5	7	41	5	2	4	8	3	9	2	9	14	6	8	1	10	8	83	14	3	4	3	3	2	0	3	4	9	2	7	6	8	6	19	2	2	5	6	2	2	1	9	9	7	3	2	2	1	4	4	4	4	2	5	5	4	6	3	18	2	4	5	3	2	8	2	2	6	56	3	3	39	4	62	4	15	6	50	5	10	4	5	4	7	5	5	4	8	3	2	4	2	3	2	5	4	5	10	2	5	5	4	3	8	3	4	4	5	0	2	4	5	5	4	4	8	6	8	7	4	4	9	4	2	12	6	6	4	8	5	8	5	4	6	4	5
1A09	18	20	5	5	8	0	11	9	12	18	118	23	4	2	4	3	7	3	5	6	5	6	4	6	2	8	13	5	6	4	4	13	38	7	9	21	11	16	11	70	44	2	9	9	6	9	7	6	5	9	110	4	6	5	7	41	7	2	4	8	3	9	2	9	14	6	8	3	10	8	83	14	5	4	5	5	2	2	3	6	9	4	7	6	6	8	19	2	2	5	6	2	2	3	9	9	5	3	0	4	1	4	2	2	4	4	5	5	4	8	3	20	2	4	5	3	2	8	0	0	6	56	1	1	39	4	62	4	15	4	50	3	10	2	5	4	7	3	5	6	8	3	2	2	4	3	2	5	4	7	10	2	5	7	4	5	8	3	2	4	5	2	0	4	3	5	4	4	8	6	8	5	4	4	7	4	2	10	4	4	2	6	5	6	5	2	4	2	5
