	12A01	12A06	12A08	12A09	12A10	12A11	12B02	12B04	12B05	12B08	12B09	12B10	12B11	12C02	12C05	12C09	12C11	12D05	12D07	12D08	12D09	12D11	12D12	12E02	12E04	12E05	12E06	12E10	12E11	12E12	12F02	12F03	12F04	12F05	12F06	12F08	12F10	12F11	12F12	12G01	12G02	12G03	12G04	12G05	12G06	12G07	12G08	12G09	12G10	12G11	12G12	12H01	12H02	12H04	12H05	12H08	12H09	12H10	12H11	13A01	13A02	13A03	13A04	13A08	13A10	13A11	13B01	13B03	13B07	13B10	13B11	13B12	13C01	13C04	13C05	13C10	13C12	13D01	13D03	13D07	13D09	13D11	13D12	13E02	13E04	13E05	13E06	13E07	13E09	13E10	13F02	13F04	13F08	13F11	13G02	13G04	13G07	13G08	13G10	13G12	13H02	13H04	13H05	13H06	13H11	13H12	14A03	14A04	14A06	14A07	14A10	14A11	14A12	14B06	14B08	14B10	14B11	14B12	14C01	14C02	14C03	14C04	14C05	14C06	14C07	14C08	14C09	14C10	14C11	14D03	14D07	14D09	14D12	14E01	14E02	14E03	14E04	14E05	14E06	14E07	14F04	14F05	14F06	14F08	14F09	14F10	14F11	14G02	14G03	14G04	14G06	14G09	14G10	14G12	14H02	14H05	14H06	14H08	14H09	14H11	1A03	1A05	1A09	1A11	1A12	1B01	1B02	1B03	1B07	1B09	1B10	1B11	1C01	1C02	1C03	1C04	1C05	1C07	1C09	1D01	1D02	1D07	1D08	1D09	1D10	1D12	1E01	1E07	7G11
1C02	22	22	5	5	12	4	15	11	14	18	116	23	4	6	6	5	9	5	9	8	7	8	4	10	2	12	17	7	10	8	8	17	40	7	13	23	15	20	13	74	48	6	13	13	10	11	11	10	9	9	112	8	8	9	11	39	9	4	6	12	5	13	6	13	18	10	12	5	14	12	85	16	7	8	5	7	6	4	5	8	13	6	11	10	10	10	23	4	4	7	10	4	6	5	13	13	9	7	4	6	5	8	6	6	8	6	9	9	8	10	5	20	2	6	9	7	6	12	4	4	8	58	5	5	35	6	60	4	19	8	52	7	14	6	7	6	11	7	9	8	10	7	6	6	6	7	6	9	8	9	14	6	9	9	8	7	12	5	6	8	9	4	4	8	7	7	8	8	12	8	12	9	4	0	11	6	4	14	8	4	6	10	7	10	7	6	8	6	7
1C03	23	27	12	12	15	7	16	16	19	25	125	30	11	9	11	10	14	10	12	13	12	13	11	13	9	15	20	12	13	9	11	20	45	14	16	28	18	23	18	73	51	9	16	14	13	14	12	13	12	16	117	11	13	12	14	48	14	9	11	15	10	16	9	14	15	11	15	10	17	15	90	15	12	11	12	12	9	9	10	13	14	11	12	13	13	15	22	9	9	12	13	9	9	10	14	10	10	10	7	11	8	11	9	9	11	11	12	12	11	13	10	25	9	11	12	10	9	15	7	7	13	63	8	8	46	11	69	11	18	11	57	10	15	9	12	11	14	10	12	13	15	10	9	7	11	10	7	12	11	12	13	9	12	14	11	12	15	10	9	9	12	9	7	11	10	12	11	11	15	13	15	12	9	11	0	11	7	3	7	11	5	9	12	7	12	7	7	7	12
1C04	22	16	7	7	12	4	15	9	10	18	114	21	6	6	6	5	7	5	9	8	7	8	6	10	4	10	15	7	10	6	8	17	36	9	13	25	15	20	13	72	46	6	13	13	10	11	11	10	9	11	108	8	8	9	11	41	9	4	6	12	5	13	6	13	18	10	12	5	14	12	83	16	7	8	7	7	6	4	3	8	13	6	11	10	10	10	23	4	2	7	10	4	6	5	13	13	9	7	4	6	5	8	6	6	8	6	9	9	8	10	5	20	4	8	9	7	6	12	4	4	8	54	5	5	41	6	60	6	19	8	46	7	14	6	5	6	11	7	9	6	10	7	6	6	6	7	6	5	8	9	14	6	9	5	8	7	12	5	6	8	9	4	4	8	7	7	8	8	12	8	12	9	6	6	11	0	4	14	8	8	6	10	7	10	7	6	8	6	7
1C05	20	20	5	5	10	2	13	9	12	18	118	23	4	4	4	3	7	3	7	6	5	6	4	8	2	10	15	5	8	6	6	15	38	7	11	23	13	18	11	72	46	4	11	11	8	9	9	8	7	9	112	6	6	7	9	41	7	2	4	10	3	11	4	11	14	8	10	3	12	10	85	14	5	6	5	5	4	2	3	6	11	4	9	8	8	8	19	2	2	5	8	2	4	3	11	9	7	5	2	4	3	6	4	4	6	4	7	7	6	6	3	18	2	6	7	5	4	10	2	2	6	56	3	3	39	4	62	4	17	6	50	5	12	4	5	4	9	5	7	6	8	5	4	4	4	5	4	7	6	5	12	4	7	7	6	5	10	3	4	6	7	2	2	6	5	5	6	6	10	6	10	7	2	4	7	4	0	10	6	6	4	8	5	8	5	4	6	4	5
1C07	26	30	15	15	18	10	19	19	22	28	128	33	14	12	14	13	15	13	15	16	15	16	12	16	12	16	21	15	14	12	14	19	48	17	17	29	17	22	21	72	52	10	17	15	14	15	13	14	15	19	120	14	14	15	17	51	15	12	14	18	11	17	12	15	14	14	16	13	18	18	93	18	13	12	15	15	10	12	13	12	15	14	15	14	14	16	19	12	12	15	14	12	10	11	13	11	11	9	10	12	11	12	12	10	14	14	13	13	12	14	11	26	12	12	11	11	12	14	10	10	14	66	11	11	49	14	72	14	15	12	60	11	14	10	15	14	15	11	13	14	18	9	10	8	12	11	10	13	10	13	12	10	11	17	12	13	16	11	10	10	11	12	10	12	11	11	12	12	16	12	12	13	12	14	3	14	10	0	10	14	8	8	11	8	11	8	8	8	15
1C09	22	22	9	9	12	4	13	13	16	20	120	27	8	6	8	7	11	7	9	10	9	10	8	10	6	12	17	9	10	8	8	17	42	11	13	23	15	18	15	70	48	6	13	13	10	13	11	10	9	13	112	8	10	9	9	45	9	6	8	12	7	13	6	13	18	10	12	7	12	12	85	16	7	8	7	7	6	6	7	10	13	8	11	10	10	12	21	6	6	9	10	6	6	7	11	13	7	7	4	8	5	8	6	6	8	8	9	9	8	10	7	22	6	6	7	5	4	12	4	4	10	60	5	5	41	8	64	8	17	6	52	7	12	6	9	6	9	7	9	8	12	7	6	6	6	7	6	9	8	11	12	6	9	11	6	7	12	7	6	8	7	6	4	8	7	9	8	8	12	10	12	9	6	8	7	8	6	10	0	8	4	8	9	8	9	6	6	6	9
1D01	20	22	7	5	12	4	15	11	16	20	114	25	6	6	8	7	11	7	9	8	9	8	6	10	6	12	15	9	10	8	8	17	42	11	11	21	15	20	15	74	48	6	13	13	10	11	11	10	9	9	108	8	10	7	11	39	11	6	6	12	7	13	6	13	18	8	10	7	14	12	83	14	9	8	9	9	6	6	7	10	13	8	11	10	10	12	23	4	6	9	10	6	6	7	11	13	9	7	4	8	5	8	6	6	8	8	9	9	6	12	7	20	4	6	9	7	6	12	4	4	8	58	5	5	39	6	62	4	19	8	52	7	14	6	9	8	9	5	9	10	10	7	6	6	8	7	6	9	8	11	14	6	9	9	8	9	12	7	6	8	9	6	4	8	7	9	8	8	12	10	12	9	6	4	11	8	6	14	8	0	6	10	9	10	9	6	8	6	9
1D02	20	22	7	7	10	2	11	11	14	20	120	25	6	4	6	5	9	5	7	8	7	8	6	8	4	10	15	7	8	4	6	15	40	9	11	23	13	18	13	70	46	4	11	9	8	11	9	8	7	11	112	6	8	7	9	43	9	4	6	10	5	11	4	11	14	8	10	5	12	10	85	14	7	6	7	7	4	4	5	8	9	6	7	8	8	10	19	4	4	7	8	4	4	5	9	9	7	5	2	6	3	6	4	4	6	6	7	7	6	10	5	22	4	6	7	5	4	10	2	2	8	58	3	3	41	6	64	6	15	6	52	5	12	4	7	6	9	5	7	8	10	5	4	2	6	5	2	7	6	9	10	4	7	9	6	7	10	5	4	4	7	4	2	6	5	7	6	6	10	8	10	7	6	6	5	6	4	8	4	6	0	6	7	4	7	4	4	4	7
1D07	20	26	11	11	14	6	15	15	18	24	124	29	10	8	8	9	7	9	7	12	7	10	8	8	8	8	13	7	6	10	10	11	42	13	9	21	9	14	13	74	46	6	11	11	8	9	7	8	9	15	116	8	8	9	11	47	9	8	10	10	7	9	8	7	10	10	10	9	10	10	89	18	7	6	11	11	6	8	9	8	13	10	13	8	8	10	17	8	8	11	6	8	6	7	11	11	7	5	6	6	7	8	8	6	10	10	9	9	8	12	7	24	8	8	7	7	8	6	6	6	6	62	5	7	45	8	68	10	11	4	56	5	10	4	11	8	9	5	9	10	14	5	6	6	8	7	8	9	6	11	10	6	7	13	6	7	10	5	4	6	7	8	6	4	3	3	4	4	8	4	6	5	10	10	9	10	8	8	8	10	6	0	3	2	3	4	2	4	11
1D08	21	23	8	8	13	5	16	12	15	21	121	26	7	7	5	6	4	6	6	9	4	7	5	7	5	7	12	4	5	9	9	10	39	10	8	20	8	13	10	73	45	5	10	10	7	8	8	7	8	12	115	7	5	8	10	44	6	5	7	9	4	8	7	8	11	11	9	6	9	9	88	19	4	5	8	8	5	5	6	5	12	7	12	7	7	7	16	5	5	8	5	5	5	4	10	12	8	4	5	3	6	7	7	5	9	7	8	8	7	9	4	21	5	7	6	6	7	5	5	5	3	59	4	6	42	5	65	7	12	3	53	4	11	3	8	5	8	4	8	7	11	4	5	5	5	6	7	8	5	8	11	5	6	10	5	4	9	2	3	5	6	5	5	3	2	0	3	3	7	1	5	4	7	7	12	7	5	11	9	9	7	3	0	5	0	5	5	5	8
1D09	20	26	11	11	14	6	15	15	18	24	124	29	10	8	8	9	7	9	7	12	7	10	10	8	8	8	13	7	6	8	10	13	42	13	9	21	11	16	13	72	46	6	11	9	8	9	7	8	9	15	116	8	8	9	11	47	9	8	10	10	7	9	8	7	10	10	12	9	10	10	89	16	7	6	11	11	8	8	9	10	11	10	11	8	8	10	17	8	8	11	6	8	6	7	11	11	7	7	6	8	7	8	8	6	10	10	11	9	8	14	7	26	8	8	9	7	8	8	6	6	6	62	5	7	45	8	68	10	11	4	56	5	12	4	11	8	9	5	11	10	14	7	6	4	10	7	6	11	8	13	10	8	9	13	8	9	12	5	6	6	9	8	6	6	5	5	4	6	10	6	8	5	10	10	7	10	8	8	8	10	4	2	5	0	5	6	2	4	11
1D10	21	23	8	8	13	5	16	12	15	21	121	26	7	7	5	6	4	6	6	9	4	7	5	7	5	7	12	4	5	9	9	10	39	10	8	20	8	13	10	73	45	5	10	10	7	8	8	7	8	12	115	7	5	8	10	44	6	5	7	9	4	8	7	8	11	11	9	6	9	9	88	19	4	5	8	8	5	5	6	5	12	7	12	7	7	7	16	5	5	8	5	5	5	4	10	12	8	4	5	3	6	7	7	5	9	7	8	8	7	9	4	21	5	7	6	6	7	5	5	5	3	59	4	6	42	5	65	7	12	3	53	4	11	3	8	5	8	4	8	7	11	4	5	5	5	6	7	8	5	8	11	5	6	10	5	4	9	2	3	5	6	5	5	3	2	0	3	3	7	1	5	4	7	7	12	7	5	11	9	9	7	3	0	5	0	5	5	5	8
1D12	18	22	7	7	10	2	13	11	14	20	120	25	6	4	6	5	9	5	7	8	7	8	4	8	4	10	15	7	8	6	6	13	40	9	11	23	11	16	13	72	46	4	11	11	8	9	7	8	7	11	112	6	8	7	9	43	9	4	6	10	5	11	4	9	12	6	8	5	12	10	85	14	7	6	7	7	2	4	5	6	11	6	9	8	8	10	19	4	4	7	8	4	4	5	9	7	5	3	2	4	3	6	4	4	6	6	5	7	6	8	5	20	4	6	5	5	4	8	2	2	8	58	3	3	41	6	64	6	13	6	52	5	8	4	7	6	9	5	5	8	10	3	4	4	4	5	4	5	4	7	8	2	5	9	4	5	8	5	2	4	5	4	2	4	3	5	6	4	8	6	8	7	6	6	7	6	4	8	6	6	4	4	5	6	5	0	4	2	7
1E01	18	24	9	9	12	4	13	13	16	22	122	27	8	6	8	7	7	7	7	10	7	8	8	8	6	8	13	7	6	8	8	13	42	11	9	21	11	16	13	72	44	4	9	9	6	7	5	6	7	13	114	6	6	7	9	45	7	6	8	10	5	9	6	7	12	8	10	7	10	10	87	16	5	4	9	9	6	6	7	8	11	8	11	6	6	8	19	6	6	9	6	6	4	5	11	11	5	5	4	8	5	6	6	4	8	8	9	7	6	12	5	24	6	6	7	5	6	8	4	4	6	60	5	5	43	8	66	8	13	4	54	5	10	4	9	8	9	5	9	8	12	5	4	4	8	5	6	9	6	11	10	6	7	11	8	9	12	5	6	8	7	6	4	6	5	5	4	6	10	6	8	5	8	8	7	8	6	8	6	8	4	2	5	2	5	4	0	2	9
1E07	18	22	7	7	10	2	13	11	14	20	120	25	6	4	6	5	7	5	7	8	7	8	6	8	4	8	13	7	6	6	6	13	40	9	9	21	11	16	13	70	44	2	9	9	6	7	5	6	7	11	112	6	6	7	9	43	7	4	6	10	3	9	4	7	12	6	10	5	10	10	85	14	5	4	7	7	4	4	5	6	9	6	9	6	6	8	19	4	4	7	6	4	2	3	9	9	3	3	2	6	3	4	4	2	6	6	7	5	4	10	3	22	4	4	5	3	4	8	2	2	6	58	3	3	41	6	64	6	13	4	52	3	8	2	7	6	7	3	7	6	10	3	2	2	6	3	4	7	4	9	8	4	5	9	6	7	10	3	4	6	5	4	2	6	5	5	4	6	10	6	8	5	6	6	7	6	4	8	6	6	4	4	5	4	5	2	2	0	7
7G11	23	23	8	8	13	5	16	12	15	21	117	26	7	7	7	6	10	6	10	9	8	9	7	11	5	13	18	8	11	9	9	18	37	8	14	24	16	21	14	69	41	7	14	14	11	12	12	11	10	12	107	9	9	10	12	36	10	3	7	13	6	14	7	14	19	11	13	6	15	13	84	19	8	9	8	8	7	5	6	9	14	7	12	11	11	11	24	5	5	6	11	5	7	6	14	14	10	8	5	7	6	9	7	7	9	7	8	10	9	11	6	21	5	9	10	8	7	13	5	5	9	51	6	4	38	7	59	7	20	9	51	8	15	7	8	7	12	8	10	9	9	8	7	7	7	8	7	10	9	10	15	7	10	10	9	8	13	6	7	9	10	5	5	9	8	8	9	9	13	9	13	10	7	7	12	7	5	15	9	9	7	11	8	11	8	7	9	7	0
